scenario_type,strategy,parameter_value,metric_name,metric_value
cost_bps,ML_Full,0,Avg_Daily_Ret,0.0012734132873459
cost_bps,ML_Full,0,CAGR,0.3154711877847547
cost_bps,ML_Full,0,Calmar,1.320075088395097
cost_bps,ML_Full,0,Max_Drawdown,-0.2389797296821153
cost_bps,ML_Full,0,N_Days,1476.0
cost_bps,ML_Full,0,Sharpe,1.0357045206217266
cost_bps,ML_Full,0,Sortino,1.4111087923986023
cost_bps,ML_Full,0,Std_Daily_Ret,0.0171322456574802
cost_bps,ML_Full,0,Total_Return,4.274115972447087
cost_bps,ML_Full,0,VaR_95,-0.0238977204740642
cost_bps,ML_Full,0,Win_Rate,0.5494579945799458
cost_bps,ML_Full,5,Avg_Daily_Ret,0.0012251896327854
cost_bps,ML_Full,5,CAGR,0.3001209942707781
cost_bps,ML_Full,5,Calmar,1.2499659136050314
cost_bps,ML_Full,5,Max_Drawdown,-0.2401033428225238
cost_bps,ML_Full,5,N_Days,1476.0
cost_bps,ML_Full,5,Sharpe,0.9908390240788364
cost_bps,ML_Full,5,Sortino,1.3522104774780732
cost_bps,ML_Full,5,Std_Daily_Ret,0.0171353944279413
cost_bps,ML_Full,5,Total_Return,3.9117503633635966
cost_bps,ML_Full,5,VaR_95,-0.0239898667493079
cost_bps,ML_Full,5,Win_Rate,0.5460704607046071
cost_bps,ML_Full,10,Avg_Daily_Ret,0.0011769659782249
cost_bps,ML_Full,10,CAGR,0.28494160991688
cost_bps,ML_Full,10,Calmar,1.1796518887334932
cost_bps,ML_Full,10,Max_Drawdown,-0.2415471993375954
cost_bps,ML_Full,10,N_Days,1476.0
cost_bps,ML_Full,10,Sharpe,0.9459119160138704
cost_bps,ML_Full,10,Sortino,1.292666231494388
cost_bps,ML_Full,10,Std_Daily_Ret,0.0171399582075703
cost_bps,ML_Full,10,Total_Return,3.574102161700874
cost_bps,ML_Full,10,VaR_95,-0.0239898667493079
cost_bps,ML_Full,10,Win_Rate,0.5447154471544715
cost_bps,ML_Full,15,Avg_Daily_Ret,0.0011287423236644
cost_bps,ML_Full,15,CAGR,0.2699312258983726
cost_bps,ML_Full,15,Calmar,1.1108771823052834
cost_bps,ML_Full,15,Max_Drawdown,-0.242989261277483
cost_bps,ML_Full,15,N_Days,1476.0
cost_bps,ML_Full,15,Sharpe,0.900934428144806
cost_bps,ML_Full,15,Sortino,1.2324213625189804
cost_bps,ML_Full,15,Std_Daily_Ret,0.0171459358664566
cost_bps,ML_Full,15,Total_Return,3.2594976000366627
cost_bps,ML_Full,15,VaR_95,-0.0239898667493079
cost_bps,ML_Full,15,Win_Rate,0.5447154471544715
cost_bps,ML_Full,20,Avg_Daily_Ret,0.0010805186691039
cost_bps,ML_Full,20,CAGR,0.2550880515795597
cost_bps,ML_Full,20,Calmar,1.0436057044844078
cost_bps,ML_Full,20,Max_Drawdown,-0.244429529738519
cost_bps,ML_Full,20,N_Days,1476.0
cost_bps,ML_Full,20,Sharpe,0.8559178088338564
cost_bps,ML_Full,20,Sortino,1.1720541090489776
cost_bps,ML_Full,20,Std_Daily_Ret,0.0171533259264578
cost_bps,ML_Full,20,Total_Return,2.966375423467001
cost_bps,ML_Full,20,VaR_95,-0.0239898667493079
cost_bps,ML_Full,20,Win_Rate,0.5440379403794038
cost_bps,ML_Full,30,Avg_Daily_Ret,0.0009840713599828
cost_bps,ML_Full,30,CAGR,0.2258962594052305
cost_bps,ML_Full,30,Calmar,0.9134329755275274
cost_bps,ML_Full,30,Max_Drawdown,-0.247304690609369
cost_bps,ML_Full,30,N_Days,1476.0
cost_bps,ML_Full,30,Sharpe,0.7658121687395782
cost_bps,ML_Full,30,Sortino,1.0512824354474168
cost_bps,ML_Full,30,Std_Daily_Ret,0.0171723356074342
cost_bps,ML_Full,30,Total_Return,2.438851220640228
cost_bps,ML_Full,30,VaR_95,-0.0239898667493079
cost_bps,ML_Full,30,Win_Rate,0.540650406504065
rebalance_days,ML_Full,5,Avg_Daily_Ret,0.0010501948706552
rebalance_days,ML_Full,5,CAGR,0.2469434971581323
rebalance_days,ML_Full,5,Calmar,0.8394437190707786
rebalance_days,ML_Full,5,Max_Drawdown,-0.2941751680880836
rebalance_days,ML_Full,5,N_Days,1476.0
rebalance_days,ML_Full,5,Sharpe,0.8399852798824005
rebalance_days,ML_Full,5,Sortino,1.0920604481814564
rebalance_days,ML_Full,5,Std_Daily_Ret,0.0169056078770363
rebalance_days,ML_Full,5,Total_Return,2.8128294649804206
rebalance_days,ML_Full,5,VaR_95,-0.0242133749483014
rebalance_days,ML_Full,5,Win_Rate,0.5440379403794038
rebalance_days,ML_Full,10,Avg_Daily_Ret,0.0011769659782249
rebalance_days,ML_Full,10,CAGR,0.28494160991688
rebalance_days,ML_Full,10,Calmar,1.1796518887334932
rebalance_days,ML_Full,10,Max_Drawdown,-0.2415471993375954
rebalance_days,ML_Full,10,N_Days,1476.0
rebalance_days,ML_Full,10,Sharpe,0.9459119160138704
rebalance_days,ML_Full,10,Sortino,1.292666231494388
rebalance_days,ML_Full,10,Std_Daily_Ret,0.0171399582075703
rebalance_days,ML_Full,10,Total_Return,3.574102161700874
rebalance_days,ML_Full,10,VaR_95,-0.0239898667493079
rebalance_days,ML_Full,10,Win_Rate,0.5447154471544715
rebalance_days,ML_Full,15,Avg_Daily_Ret,0.0010295402181541
rebalance_days,ML_Full,15,CAGR,0.2391128413274654
rebalance_days,ML_Full,15,Calmar,0.6036853307990123
rebalance_days,ML_Full,15,Max_Drawdown,-0.3960885400527885
rebalance_days,ML_Full,15,N_Days,1476.0
rebalance_days,ML_Full,15,Sharpe,0.8054856618502115
rebalance_days,ML_Full,15,Sortino,1.0528523717952276
rebalance_days,ML_Full,15,Std_Daily_Ret,0.0172226272640318
rebalance_days,ML_Full,15,Total_Return,2.66991370114731
rebalance_days,ML_Full,15,VaR_95,-0.0237783714523581
rebalance_days,ML_Full,15,Win_Rate,0.5426829268292683
rebalance_days,ML_Full,21,Avg_Daily_Ret,0.0009257892054837
rebalance_days,ML_Full,21,CAGR,0.2100923645946331
rebalance_days,ML_Full,21,Calmar,0.4930717483191548
rebalance_days,ML_Full,21,Max_Drawdown,-0.4260888305014888
rebalance_days,ML_Full,21,N_Days,1476.0
rebalance_days,ML_Full,21,Sharpe,0.7258509507455569
rebalance_days,ML_Full,21,Sortino,0.9597225129532444
rebalance_days,ML_Full,21,Std_Daily_Ret,0.0168431040025896
rebalance_days,ML_Full,21,Total_Return,2.178627420822787
rebalance_days,ML_Full,21,VaR_95,-0.02514002205206
rebalance_days,ML_Full,21,Win_Rate,0.5447154471544715
rebalance_days,ML_Full,42,Avg_Daily_Ret,0.0007971022134097
rebalance_days,ML_Full,42,CAGR,0.1716046841501934
rebalance_days,ML_Full,42,Calmar,0.4173386337271034
rebalance_days,ML_Full,42,Max_Drawdown,-0.4111881102826566
rebalance_days,ML_Full,42,N_Days,1476.0
rebalance_days,ML_Full,42,Sharpe,0.595024708947656
rebalance_days,ML_Full,42,Sortino,0.8085685506672853
rebalance_days,ML_Full,42,Std_Daily_Ret,0.0171131387195922
rebalance_days,ML_Full,42,Total_Return,1.6128347124811904
rebalance_days,ML_Full,42,VaR_95,-0.0259627719772352
rebalance_days,ML_Full,42,Win_Rate,0.5426829268292683
top_k,ML_Full,3,Avg_Daily_Ret,0.0014908272061474
top_k,ML_Full,3,CAGR,0.3642457753845882
top_k,ML_Full,3,Calmar,1.29324361818653
top_k,ML_Full,3,Max_Drawdown,-0.2816528690049577
top_k,ML_Full,3,N_Days,1476.0
top_k,ML_Full,3,Sharpe,1.020885776175428
top_k,ML_Full,3,Sortino,1.5066988621389077
top_k,ML_Full,3,Std_Daily_Ret,0.0207616598592785
top_k,ML_Full,3,Total_Return,5.577102774486214
top_k,ML_Full,3,VaR_95,-0.0292273936190022
top_k,ML_Full,3,Win_Rate,0.5271002710027101
top_k,ML_Full,5,Avg_Daily_Ret,0.0010930863299473
top_k,ML_Full,5,CAGR,0.2521137814015231
top_k,ML_Full,5,Calmar,1.1920461850977937
top_k,ML_Full,5,Max_Drawdown,-0.2114966555434595
top_k,ML_Full,5,N_Days,1476.0
top_k,ML_Full,5,Sharpe,0.8069205848691517
top_k,ML_Full,5,Sortino,1.184946526315806
top_k,ML_Full,5,Std_Daily_Ret,0.018442140219438
top_k,ML_Full,5,Total_Return,2.909715231217457
top_k,ML_Full,5,VaR_95,-0.0267419215714729
top_k,ML_Full,5,Win_Rate,0.5345528455284553
top_k,ML_Full,8,Avg_Daily_Ret,0.0011485129379023
top_k,ML_Full,8,CAGR,0.2730392346600807
top_k,ML_Full,8,Calmar,1.0991019548925038
top_k,ML_Full,8,Max_Drawdown,-0.2484202975389894
top_k,ML_Full,8,N_Days,1476.0
top_k,ML_Full,8,Sharpe,0.8900259837915288
top_k,ML_Full,8,Sortino,1.2333394499961612
top_k,ML_Full,8,Std_Daily_Ret,0.0177087107378069
top_k,ML_Full,8,Total_Return,3.323109138903197
top_k,ML_Full,8,VaR_95,-0.0253515437282755
top_k,ML_Full,8,Win_Rate,0.5433604336043361
top_k,ML_Full,10,Avg_Daily_Ret,0.0011769659782249
top_k,ML_Full,10,CAGR,0.28494160991688
top_k,ML_Full,10,Calmar,1.1796518887334932
top_k,ML_Full,10,Max_Drawdown,-0.2415471993375954
top_k,ML_Full,10,N_Days,1476.0
top_k,ML_Full,10,Sharpe,0.9459119160138704
top_k,ML_Full,10,Sortino,1.292666231494388
top_k,ML_Full,10,Std_Daily_Ret,0.0171399582075703
top_k,ML_Full,10,Total_Return,3.574102161700874
top_k,ML_Full,10,VaR_95,-0.0239898667493079
top_k,ML_Full,10,Win_Rate,0.5447154471544715
top_k,ML_Full,12,Avg_Daily_Ret,0.0011056760724986
top_k,ML_Full,12,CAGR,0.2648792124035255
top_k,ML_Full,12,Calmar,1.077078144172889
top_k,ML_Full,12,Max_Drawdown,-0.2459238578338546
top_k,ML_Full,12,N_Days,1476.0
top_k,ML_Full,12,Sharpe,0.9003516038954921
top_k,ML_Full,12,Sortino,1.225756314763533
top_k,ML_Full,12,Std_Daily_Ret,0.0167503433925405
top_k,ML_Full,12,Total_Return,3.157766693953543
top_k,ML_Full,12,VaR_95,-0.0243563415021238
top_k,ML_Full,12,Win_Rate,0.5426829268292683
top_k,ML_Full,15,Avg_Daily_Ret,0.0010519759654722
top_k,ML_Full,15,CAGR,0.2498529639979354
top_k,ML_Full,15,Calmar,0.9744441562185846
top_k,ML_Full,15,Max_Drawdown,-0.2564056261238321
top_k,ML_Full,15,N_Days,1476.0
top_k,ML_Full,15,Sharpe,0.8636371251553371
top_k,ML_Full,15,Sortino,1.177580856949319
top_k,ML_Full,15,Std_Daily_Ret,0.0164753637302219
top_k,ML_Full,15,Total_Return,2.8670999840604323
top_k,ML_Full,15,VaR_95,-0.0244240451540444
top_k,ML_Full,15,Win_Rate,0.5494579945799458
